ru_toxic_comment	ru_neutral_comment
НУ БЛИААААА, НЕ ХОЧУ СИСЬКИ КАК У ПУГАЧЕВОЙ :-(((9(9(	Я не хочу грудь как у Пугачёвой
эти твари сделали больше рекламы в скайпе :(	Эти люди сделали больше рекламы в скайпе.
эти твари сделали больше рекламы в скайпе :(	эти сделали больше рекламы в скайпе :(
уже весь на нервах из-за нба 14,блять,выносят меня(((	Уже весь на нервах из за на 14, бесят меня
уже весь на нервах из-за нба 14,блять,выносят меня(((	уже весь на нервах из-за нба 14, выносят меня(((
ДА ТУПО ПЕРЕОХЛАДИЛСЯ БЛ!( Я ТОЖ В НАЧАЛЕ ЧИХАЛ ПРОСТ..БОЛЕТЬ ПОД НОВЫЙ ГОД - ХУЁВО((	Да чисто простыл да ! Я тоже в начале чихал просто...Болеть под новый год плохо
не шевели ногами, по ебалу получишь((	Не шевели ногами, получишь.
не шевели ногами, по ебалу получишь((	Не шевели ногами по лицу получишь
Сижу дома со Славиком,сидит пиздит хуйню:(	Сидим дома со Славика и разговариваем
Сижу дома со Славиком,сидит пиздит хуйню:(	Сижу дома со Славиком, сидит рассказывает разные истории
Сижу дома со Славиком,сидит пиздит хуйню:(	Сижу дома со Славиком,сидит говорит неправду
Время 13:31,я соскучилась по своим пидоркам( Гр.1331❤️❤️❤️	Время 13:31,я соскучилась по своим друзьям( Гр.1331❤️❤️❤️
Время 13:31,я соскучилась по своим пидоркам( Гр.1331❤️❤️❤️	Время 13:31, я соскучилась по своей группе 1331
Так жалко пострадавших в теракте в волгограде. КАКАЯ ЖЕ ЭТА СУКА РЕШИЛА СЕБЯ ВЗОРВАТЬ! Люди, бойтесь многолюдных месть:(	Так жалко пострадавших в теракте в волгограде. Люди, бойтесь многолюдных мест:(
Так жалко пострадавших в теракте в волгограде. КАКАЯ ЖЕ ЭТА СУКА РЕШИЛА СЕБЯ ВЗОРВАТЬ! Люди, бойтесь многолюдных месть:(	жалко пострадавших в теракте в Волгограде люди бойтесь людных мест
Сукаа как он мне начинает нравитсяякакого херааааа?(	Этот человек мне симпатичен
мучают бедную слониху, изверги. Издеваются подлые твари (((((	Мучают бедную слониху. Плохие люди
мучают бедную слониху, изверги. Издеваются подлые твари (((((	Мучают бедную слониху,изверги. Издеваются.
мучают бедную слониху, изверги. Издеваются подлые твари (((((	Мучают бедную слониху, издеваются
ОМГ КАКОЙ НАХОЙ ЗАМУЖ, Я ЖЕ МАЛЕНЬКАЯ ДЕВАЧКА Х(((((9((	ОМГ КАКОЙ МНЕ ЗАМУЖ, Я ЖЕ МАЛЕНЬКАЯ ДЕВАЧКА Х(((((9((
ОМГ КАКОЙ НАХОЙ ЗАМУЖ, Я ЖЕ МАЛЕНЬКАЯ ДЕВАЧКА Х(((((9((	Зачем замуж? Я ещё маленькая девочка
ЗБС ПОКАТАЛСЯ ВСЕ БОЛИТ ТЕПЕРЬ(( ЗАВТРА НЕ ИДУ	Хорошо пркатался вчера аж все болит. Завтра не иду
ЗБС ПОКАТАЛСЯ ВСЕ БОЛИТ ТЕПЕРЬ(( ЗАВТРА НЕ ИДУ	Отлично покатался все болит теперь, завтра не иду
ЗБС ПОКАТАЛСЯ ВСЕ БОЛИТ ТЕПЕРЬ(( ЗАВТРА НЕ ИДУ	ПОКАТАЛСЯ ВСЕ БОЛИТ ТЕПЕРЬ(( ЗАВТРА НЕ ИДУ
Навальный не пал, а начала конца твоего Путина уже очевидно. Петр, иди на ХУЙ!!!!	Навальный не пал, а начала конца твоего Путина уже очевидно.
Блябля хоть бы это был не он @ это точно был он бля уверенна(	хоть бы это был не он так ведь он я просто уверена
